run_number,topic_id,size,words,weights
4,3,675,"legal, justice, aid, courts, court, judges, bar, magistrates, advice, barristers","0.0115, 0.0101, 0.0095, 0.0092, 0.0087, 0.0057, 0.0050, 0.0050, 0.0043, 0.0041"
4,4,616,"councils, council, local, county, northamptonshire, funding, authorities, cuts, services, spending","0.0121, 0.0105, 0.0094, 0.0062, 0.0061, 0.0054, 0.0054, 0.0046, 0.0042, 0.0038"
4,5,601,"border, ireland, irish, northern, republic, customs, hard, between, agreement, union","0.0221, 0.0167, 0.0109, 0.0108, 0.0083, 0.0065, 0.0063, 0.0050, 0.0050, 0.0044"
4,6,580,"fishing, fisheries, fishermen, fish, waters, coastal, common, quota, industry, cfp","0.0228, 0.0213, 0.0140, 0.0129, 0.0109, 0.0086, 0.0062, 0.0056, 0.0055, 0.0054"
4,7,552,"russia, russian, ukraine, putin, salisbury, russians, crimea, attack, sanctions, allies","0.0207, 0.0206, 0.0072, 0.0066, 0.0058, 0.0049, 0.0043, 0.0041, 0.0035, 0.0035"
4,8,507,"scottish, scotland, snp, devolution, parliament, powers, independence, grab, sewel, power","0.0128, 0.0119, 0.0101, 0.0071, 0.0069, 0.0056, 0.0056, 0.0054, 0.0040, 0.0037"
4,9,479,"ireland, northern, assembly, sinn, fa, executive, decisions, stormont, parties, devolved","0.0146, 0.0145, 0.0080, 0.0071, 0.0068, 0.0067, 0.0057, 0.0056, 0.0051, 0.0046"
5,0,1026,"housing, homes, affordable, planning, build, houses, land, empty, buyers, building","0.0128, 0.0126, 0.0076, 0.0074, 0.0052, 0.0050, 0.0050, 0.0047, 0.0046, 0.0043"
5,1,738,"schools, school, teachers, pupil, funding, education, pupils, formula, academy, academies","0.0224, 0.0145, 0.0097, 0.0086, 0.0082, 0.0072, 0.0062, 0.0059, 0.0054, 0.0051"
5,2,692,"universal, credit, roll, claimants, uc, benefits, work, jobcentre, system, nao","0.0250, 0.0232, 0.0082, 0.0065, 0.0050, 0.0042, 0.0041, 0.0040, 0.0039, 0.0033"
5,3,651,"police, policing, officers, crime, settlement, funding, commissioner, midlands, force, precept","0.0237, 0.0125, 0.0105, 0.0103, 0.0059, 0.0051, 0.0047, 0.0047, 0.0046, 0.0046"
5,4,628,"scottish, scotland, snp, devolution, parliament, independence, powers, grab, sewel, referendum","0.0125, 0.0120, 0.0092, 0.0068, 0.0063, 0.0056, 0.0049, 0.0045, 0.0041, 0.0036"
5,5,558,"fishing, fisheries, fishermen, fish, waters, coastal, common, cfp, industry, quota","0.0229, 0.0207, 0.0139, 0.0127, 0.0114, 0.0087, 0.0063, 0.0061, 0.0057, 0.0056"
5,6,551,"russia, russian, ukraine, putin, salisbury, russians, attack, crimea, nerve, gru","0.0198, 0.0194, 0.0068, 0.0064, 0.0062, 0.0048, 0.0044, 0.0042, 0.0039, 0.0035"
5,7,501,"councils, council, local, northamptonshire, county, funding, authorities, cuts, services, tax","0.0132, 0.0113, 0.0095, 0.0065, 0.0065, 0.0053, 0.0051, 0.0048, 0.0045, 0.0040"
5,8,484,"ireland, northern, assembly, sinn, fa, executive, decisions, stormont, parties, devolved","0.0144, 0.0143, 0.0078, 0.0073, 0.0070, 0.0068, 0.0058, 0.0056, 0.0049, 0.0048"
5,9,471,"care, social, carers, adult, funding, dementia, green, councils, older, paper","0.0234, 0.0146, 0.0081, 0.0078, 0.0047, 0.0042, 0.0042, 0.0036, 0.0035, 0.0034"
